Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
100,56.86283195917673,481.78174,2078.2171588853266,2063.371178493901
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
101,56.86283195917673,482.22922,2747.5927142856867,2747.5927142856867
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
102,56.86283195917673,492.43134,2683.1756134680377,2683.1756134680377
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
100,56.86283195917673,481.78174,2078.2171588853266,2063.371178493901
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
101,56.86283195917673,482.22922,2747.5927142856867,2747.5927142856867
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
102,56.86283195917673,492.43134,2683.1756134680377,2683.1756134680377
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
100,56.86283195917673,481.78174,2078.2171588853266,2063.371178493901
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
101,186.8949521911104,482.22922,2747.5927142856867,2617.560594053753
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
102,294.0369782405987,492.43134,2683.1756134680377,2576.0335874185494
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
103,56.86283195917673,520.7118,2213.429091250827,2450.603237532249
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
104,56.86283195917673,564.6312,1827.8590064423852,1827.8590064423852
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
105,56.86283195917673,618.18915,1663.4955010562114,1663.4955010562114
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
106,56.86283195917673,672.173,1635.149100328585,1635.149100328585
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
107,56.86283195917673,711.8989,1530.6791613261087,1530.6791613261087
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
108,56.86283195917673,737.619,1103.6758863617163,1103.6758863617163
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
109,56.86283195917673,751.56085,802.2447662055762,802.2447662055763
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
110,56.86283195917673,751.04114,772.562263736072,772.562263736072
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
111,56.86283195917673,739.4546,893.6296825487244,893.6296825487245
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
112,56.86283195917673,729.136,1862.7598745238822,1862.7598745238822
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
113,576.3735698008186,718.62726,3031.9169887125913,2512.4062508709494
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
114,65.08564614273973,687.7426,3210.8880172221916,3722.1759408802704
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
115,86.09213295086965,656.58307,2843.5261252636014,2822.5196384554715
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
116,63.85220206376016,633.0568,2408.9591144433853,2431.1990453304948
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
117,56.86283195917673,604.57904,2066.8579773504653,2073.8473474550487
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
118,56.86283195917673,566.8102,1765.397143038887,1765.397143038887
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
119,56.86283195917673,534.1494,1552.626422354625,1552.626422354625
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
120,56.86283195917673,514.0254,1402.8802559130304,1402.8802559130304
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
121,56.86283195917673,478.26523,1164.6627244970357,1164.6627244970357
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
122,56.86283195917673,439.1956,839.7616058385657,839.7616058385659
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
123,56.86283195917673,413.83,558.9242151522245,558.9242151522246
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
124,56.86283195917673,402.38315,450.0397205664004,450.0397205664004
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
125,56.86283195917673,405.34518,490.1221540454179,490.122154045418
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
126,56.86283195917673,425.13657,504.44310891089293,504.44310891089293
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
127,56.86283195917673,451.60114,443.98325568158003,443.98325568158003
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
128,56.86283195917673,490.13202,530.663682360661,530.6636823606611
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
129,56.86283195917673,537.96747,791.0010749208777,791.0010749208777
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
130,56.86283195917673,580.6883,993.4624576918519,993.462457691852
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
131,56.86283195917673,611.2446,1209.9180537604723,1209.9180537604723
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
132,56.86283195917673,634.983,1178.7085516171257,1178.7085516171257
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
133,56.86283195917673,653.4229,1018.1251778561701,1018.1251778561702
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
134,56.86283195917673,655.4079,1062.6910838216352,1062.6910838216352
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
135,56.86283195917673,652.6137,879.2841991244003,879.2841991244004
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
136,56.86283195917673,654.5466,781.7554836059222,781.7554836059223
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
137,56.86283195917673,661.3013,702.3659603232886,702.3659603232886
Time,Level,Predicted Inflow,Actual Inflow,Actual Outflow
