Time,Total Inflow,Total Outflow
100,2078.2171588853266,0.0
101,2747.5927142856867,0.0
102,2683.1756134680377,0.0
103,2213.429091250827,0.0
104,1827.8590064423852,0.0
105,1663.4955010562114,0.0
106,1635.149100328585,3998.7164579100795
107,1530.6791613261087,3998.7164579100795
108,1103.6758863617163,3998.7164579100795
109,802.2447662055762,0.0
110,772.562263736072,0.0
111,893.6296825487244,0.0
112,1862.7598745238822,0.0
113,3031.9169887125913,0.0
114,3210.8880172221916,0.0
115,2843.5261252636014,3998.7164579100795
116,2408.9591144433853,3998.7164579100795
117,2066.8579773504653,3998.7164579100795
118,1765.397143038887,3998.7164579100795
119,1552.626422354625,3998.7164579100795
120,1402.8802559130304,3998.7164579100795
121,1164.6627244970357,0.0
122,839.7616058385657,0.0
123,558.9242151522245,0.0
124,450.0397205664004,0.0
125,490.1221540454179,0.0
126,504.44310891089293,0.0
127,443.98325568158003,0.0
128,530.663682360661,0.0
129,791.0010749208777,0.0
130,993.4624576918519,0.0
131,1209.9180537604723,0.0
132,1178.7085516171257,0.0
133,1018.1251778561701,3998.7164579100795
134,1062.6910838216352,3998.7164579100795
135,879.2841991244003,3998.7164579100795
136,781.7554836059222,0.0
137,702.3659603232886,0.0
138,688.899846258612,0.0
139,708.9244274073044,0.0
140,775.7479614955568,0.0
141,742.2202083815896,0.0
142,590.628006924966,0.0
143,487.8561725597354,0.0
144,513.7138560738831,0.0
145,592.339698072044,0.0
146,750.0933425702109,0.0
147,446.89883658903494,0.0
148,207.63655149535148,0.0
149,266.62200035462524,0.0
150,313.5788618449464,0.0
151,340.2473202431908,0.0
152,309.783147197635,0.0
153,457.10596110911064,3998.7164579100795
154,699.8297689347236,3998.7164579100795
155,956.2938602265224,3998.7164579100795
156,1003.347493376095,0.0
157,913.0366330208797,0.0
158,914.9134871570591,0.0
159,926.9278855996358,0.0
160,745.4786616196324,0.0
161,970.1082192388473,0.0
162,1291.7875483854086,0.0
163,947.487253426059,0.0
164,786.3023061109767,0.0
165,710.7343618951975,0.0
166,637.689420497494,0.0
167,532.8202476442058,3998.7164579100795
168,561.0388567408079,3998.7164579100795
169,623.3400959821073,3998.7164579100795
170,279.97426248181165,0.0
171,167.60908452833056,0.0
172,373.54651639261266,0.0
173,495.6423739689465,0.0
174,358.86142951368964,0.0
175,736.0776660961639,0.0
176,895.2900754870975,0.0
177,994.348216286494,0.0
178,1140.7470839185494,0.0
179,1344.7377393140534,0.0
180,1465.946876958592,0.0
181,972.0581012036141,0.0
182,1161.6816619370054,0.0
183,1272.5734488390083,3998.7164579100795
184,1393.8889382745501,3998.7164579100795
185,1114.9102612900183,3998.7164579100795
186,1116.2541995824395,0.0
187,1045.8800314186285,0.0
188,768.7971474247076,0.0
189,966.0235134383017,0.0
190,986.6835624555792,0.0
191,825.2241804376561,0.0
192,634.0073493197525,0.0
193,350.0915686596894,0.0
194,228.91082040026458,0.0
195,322.2017357884646,0.0
196,401.4531799476768,0.0
197,352.45741596879236,0.0
198,333.24600801412015,0.0
199,565.5465275075851,3998.7164579100795
200,1086.0930069440865,3998.7164579100795
201,1017.53457897704,3998.7164579100795
202,772.3970862010742,0.0
203,642.7383137187862,0.0
204,560.4514465759811,0.0
205,540.1358911699568,0.0
206,584.1152468182445,0.0
207,450.84402832163613,0.0
208,510.0051577861689,0.0
209,549.1933918339121,0.0
210,640.9123970418939,0.0
211,857.0214400182588,0.0
212,714.3892348647513,0.0
213,779.8540952679244,0.0
214,733.1793137852304,0.0
215,567.3304693375848,0.0
216,434.4354564270697,0.0
217,359.6431711362423,3998.7164579100795
218,308.980695087775,3998.7164579100795
219,289.638026446605,0.0
220,287.76576537148566,0.0
221,259.5680055572475,0.0
222,283.5941503711548,0.0
223,518.3918967813579,0.0
224,1210.624708046939,0.0
225,1682.2518844194033,0.0
226,1804.6580370773506,0.0
227,1782.278934329856,0.0
228,1783.2522315360254,3998.7164579100795
229,1510.4755563613871,3998.7164579100795
230,1128.8337314428813,3998.7164579100795
231,918.1664659464916,3998.7164579100795
232,695.4786577478278,0.0
233,647.9672341051828,0.0
234,713.7853229863211,0.0
235,755.935132574795,0.0
236,710.7125582480807,0.0
237,650.7409595443906,0.0
238,837.6592230350356,0.0
239,772.284493982103,0.0
240,489.38684011715566,0.0
241,377.72929492237824,0.0
242,599.4267830190614,0.0
243,746.0675840096476,0.0
244,733.8908126284429,0.0
245,718.845982077883,0.0
246,328.07683327535767,0.0
247,445.8116082358565,3998.7164579100795
248,569.6008766502792,3998.7164579100795
249,774.3214840290981,3998.7164579100795
250,1634.2844913485858,0.0
251,1541.8899696860278,0.0
252,902.3242545296016,0.0
253,815.0745178623649,0.0
254,752.9581929173453,0.0
255,482.3262628127385,0.0
256,412.1843881439488,0.0
257,518.6133460030026,0.0
258,723.7024750589335,0.0
259,859.0539755315001,0.0
260,701.6210213125576,0.0
261,880.1439831562168,0.0
262,827.3510200108634,3998.7164579100795
263,707.4263109607841,3998.7164579100795
264,507.00974966091053,3998.7164579100795
265,351.33186331098034,0.0
266,218.02771718266612,0.0
267,294.8556151280532,0.0
268,321.9001804145645,0.0
269,354.33005243254286,0.0
270,436.204718037428,0.0
271,647.1374651444153,0.0
272,756.2785674007948,0.0
273,660.7673187802956,0.0
274,762.215036305905,0.0
275,698.7964168132625,0.0
276,490.4494251011782,0.0
277,400.49743654457484,0.0
278,552.5218595065772,0.0
279,546.192281811092,0.0
280,747.798485214731,0.0
281,715.8309878160054,0.0
282,576.8300875071681,0.0
283,611.0831641969496,0.0
