Time,Total Inflow,Total Outflow
100,0,308.35777437877266
100,0,217.5362296080934
101,0,510.22889556720236
102,0,798.7457198743198
103,0,1094.4253336253519
104,0,1351.1022925082705
105,0,1626.570464824383
106,0,1924.4621085114318
107,0,2032.5343507527882
108,0,2076.2958233335708
109,0,2109.2235039383363
110,0,2145.0279742017037
111,0,2177.2412417746673
112,0,2210.6927176618497
113,0,2250.0565728865167
114,0,2288.3371684001527
115,0,2327.392104614725
116,0,2360.330712220018
117,0,2402.528869129227
118,0,2441.311132300586
100,0,231.84052775885326
