Time,Level,Predicted Level,Actual Inflow,Actual Outflow
100,264.8005,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
101,257.2785,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
102,249.75650000000002,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
103,242.23450000000003,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
104,234.71250000000003,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
105,227.19050000000004,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
106,219.66850000000005,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
107,212.14650000000006,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
108,204.62450000000007,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
109,197.10250000000008,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
110,189.5805000000001,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
111,182.0585000000001,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
112,174.5365000000001,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
113,167.0145000000001,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
114,159.49250000000012,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
115,151.97050000000013,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
116,144.44850000000014,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
117,136.92650000000015,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
118,129.40450000000016,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
119,121.88250000000016,145023.7074024418,0.0,7.521999999999991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
120,114.36050000000017,145023.7074024418,0.0,7.521999999999991
