Time,Level,Predicted Level,Actual Inflow,Actual Outflow
100,217.733,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
101,216.53300000000002,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
102,215.33300000000003,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
103,214.13300000000004,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
104,212.93300000000005,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
105,211.73300000000006,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
106,210.53300000000007,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
107,209.33300000000008,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
108,208.1330000000001,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
109,206.9330000000001,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
110,205.73300000000012,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
111,204.53300000000013,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
112,203.33300000000014,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
113,202.13300000000015,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
114,200.93300000000016,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
115,199.73300000000017,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
116,198.5330000000002,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
117,197.3330000000002,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
118,196.1330000000002,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
119,194.93300000000022,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
120,193.73300000000023,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
121,192.53300000000024,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
122,191.33300000000025,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
123,190.13300000000027,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
124,188.93300000000028,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
125,187.7330000000003,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
126,186.5330000000003,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
127,185.3330000000003,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
128,184.13300000000032,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
129,182.93300000000033,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
130,181.73300000000035,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
131,180.53300000000036,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
132,179.33300000000037,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
133,178.13300000000038,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
134,176.9330000000004,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
135,175.7330000000004,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
136,174.5330000000004,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
137,173.33300000000042,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
138,172.13300000000044,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
139,170.93300000000045,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
140,169.73300000000046,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
141,168.53300000000047,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
142,167.33300000000048,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
143,166.1330000000005,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
144,164.9330000000005,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
145,163.73300000000052,249881.84170368634,0.0,1.1999999999999886
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
